Mes;Magnitud;Tipo Estación;Zona;Estación;Concentraciones medias mensuales
2010-01-01;Dióxido de nitrógeno;Suburbana;Noreste;Juan Carlos I;35
2010-01-01;Dióxido de nitrógeno;Suburbana;Noroeste;Casa de Campo;36
2010-01-01;Dióxido de nitrógeno;Suburbana;Noroeste;El Pardo;25
2010-01-01;Dióxido de nitrógeno;Urbana de Fondo;Interior M-30;Méndez Álvaro;52
2010-01-01;Dióxido de nitrógeno;Urbana de Fondo;Interior M-30;Plaza del Carmen;56
2010-01-01;Dióxido de nitrógeno;Urbana de Fondo;Interior M-30;Retiro;38
2010-01-01;Dióxido de nitrógeno;Urbana de Fondo;Noreste;Arturo Soria;50
2010-01-01;Dióxido de nitrógeno;Urbana de Fondo;Noreste;Barajas Pueblo;56
2010-01-01;Dióxido de nitrógeno;Urbana de Fondo;Noreste;Sanchinarro;46
2010-01-01;Dióxido de nitrógeno;Urbana de Fondo;Noreste;Tres Olivos;51
2010-01-01;Dióxido de nitrógeno;Urbana de Fondo;Noreste;Urbanización Embajada;45
2010-01-01;Dióxido de nitrógeno;Urbana de Fondo;Sureste;Ensanche de Vallecas;47
2010-01-01;Dióxido de nitrógeno;Urbana de Fondo;Sureste;Vallecas;48
2010-01-01;Dióxido de nitrógeno;Urbana de Fondo;Suroeste;Farolillo;48
2010-01-01;Dióxido de nitrógeno;Urbana de Fondo;Suroeste;Villaverde;32
2010-01-01;Dióxido de nitrógeno;Urbana de Tráfico;Interior M-30;Barrio del Pilar;42
2010-01-01;Dióxido de nitrógeno;Urbana de Tráfico;Interior M-30;Castellana;
2010-01-01;Dióxido de nitrógeno;Urbana de Tráfico;Interior M-30;Cuatro Caminos;53
2010-01-01;Dióxido de nitrógeno;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;47
2010-01-01;Dióxido de nitrógeno;Urbana de Tráfico;Interior M-30;Plaza de Castilla;
2010-01-01;Dióxido de nitrógeno;Urbana de Tráfico;Interior M-30;Plaza de España;44
2010-01-01;Dióxido de nitrógeno;Urbana de Tráfico;Interior M-30;Ramón y Cajal;58
2010-01-01;Dióxido de nitrógeno;Urbana de Tráfico;Sureste;Moratalaz;62
2010-01-01;Dióxido de nitrógeno;Urbana de Tráfico;Suroeste;Plaza Elíptica;84
2010-02-01;Dióxido de nitrógeno;Suburbana;Noreste;Juan Carlos I;30
2010-02-01;Dióxido de nitrógeno;Suburbana;Noroeste;Casa de Campo;34
2010-02-01;Dióxido de nitrógeno;Suburbana;Noroeste;El Pardo;22
2010-02-01;Dióxido de nitrógeno;Urbana de Fondo;Interior M-30;Méndez Álvaro;50
2010-02-01;Dióxido de nitrógeno;Urbana de Fondo;Interior M-30;Plaza del Carmen;54
2010-02-01;Dióxido de nitrógeno;Urbana de Fondo;Interior M-30;Retiro;35
2010-02-01;Dióxido de nitrógeno;Urbana de Fondo;Noreste;Arturo Soria;46
2010-02-01;Dióxido de nitrógeno;Urbana de Fondo;Noreste;Barajas Pueblo;52
2010-02-01;Dióxido de nitrógeno;Urbana de Fondo;Noreste;Sanchinarro;38
2010-02-01;Dióxido de nitrógeno;Urbana de Fondo;Noreste;Tres Olivos;44
2010-02-01;Dióxido de nitrógeno;Urbana de Fondo;Noreste;Urbanización Embajada;46
2010-02-01;Dióxido de nitrógeno;Urbana de Fondo;Sureste;Ensanche de Vallecas;45
2010-02-01;Dióxido de nitrógeno;Urbana de Fondo;Sureste;Vallecas;44
2010-02-01;Dióxido de nitrógeno;Urbana de Fondo;Suroeste;Farolillo;48
2010-02-01;Dióxido de nitrógeno;Urbana de Fondo;Suroeste;Villaverde;32
2010-02-01;Dióxido de nitrógeno;Urbana de Tráfico;Interior M-30;Barrio del Pilar;39
2010-02-01;Dióxido de nitrógeno;Urbana de Tráfico;Interior M-30;Castellana;
2010-02-01;Dióxido de nitrógeno;Urbana de Tráfico;Interior M-30;Cuatro Caminos;50
2010-02-01;Dióxido de nitrógeno;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;44
2010-02-01;Dióxido de nitrógeno;Urbana de Tráfico;Interior M-30;Plaza de Castilla;55
2010-02-01;Dióxido de nitrógeno;Urbana de Tráfico;Interior M-30;Plaza de España;51
2010-02-01;Dióxido de nitrógeno;Urbana de Tráfico;Interior M-30;Ramón y Cajal;54
2010-02-01;Dióxido de nitrógeno;Urbana de Tráfico;Sureste;Moratalaz;59
2010-02-01;Dióxido de nitrógeno;Urbana de Tráfico;Suroeste;Plaza Elíptica;78
2010-03-01;Dióxido de nitrógeno;Suburbana;Noreste;Juan Carlos I;26
2010-03-01;Dióxido de nitrógeno;Suburbana;Noroeste;Casa de Campo;28
2010-03-01;Dióxido de nitrógeno;Suburbana;Noroeste;El Pardo;19
2010-03-01;Dióxido de nitrógeno;Urbana de Fondo;Interior M-30;Méndez Álvaro;47
2010-03-01;Dióxido de nitrógeno;Urbana de Fondo;Interior M-30;Plaza del Carmen;50
2010-03-01;Dióxido de nitrógeno;Urbana de Fondo;Interior M-30;Retiro;31
2010-03-01;Dióxido de nitrógeno;Urbana de Fondo;Noreste;Arturo Soria;40
2010-03-01;Dióxido de nitrógeno;Urbana de Fondo;Noreste;Barajas Pueblo;45
2010-03-01;Dióxido de nitrógeno;Urbana de Fondo;Noreste;Sanchinarro;32
2010-03-01;Dióxido de nitrógeno;Urbana de Fondo;Noreste;Tres Olivos;39
2010-03-01;Dióxido de nitrógeno;Urbana de Fondo;Noreste;Urbanización Embajada;42
2010-03-01;Dióxido de nitrógeno;Urbana de Fondo;Sureste;Ensanche de Vallecas;41
2010-03-01;Dióxido de nitrógeno;Urbana de Fondo;Sureste;Vallecas;39
2010-03-01;Dióxido de nitrógeno;Urbana de Fondo;Suroeste;Farolillo;44
2010-03-01;Dióxido de nitrógeno;Urbana de Fondo;Suroeste;Villaverde;30
2010-03-01;Dióxido de nitrógeno;Urbana de Tráfico;Interior M-30;Barrio del Pilar;35
2010-03-01;Dióxido de nitrógeno;Urbana de Tráfico;Interior M-30;Castellana;
2010-03-01;Dióxido de nitrógeno;Urbana de Tráfico;Interior M-30;Cuatro Caminos;45
2010-03-01;Dióxido de nitrógeno;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;40
2010-03-01;Dióxido de nitrógeno;Urbana de Tráfico;Interior M-30;Plaza de Castilla;54
2010-03-01;Dióxido de nitrógeno;Urbana de Tráfico;Interior M-30;Plaza de España;50
2010-03-01;Dióxido de nitrógeno;Urbana de Tráfico;Interior M-30;Ramón y Cajal;48
2010-03-01;Dióxido de nitrógeno;Urbana de Tráfico;Sureste;Moratalaz;52
2010-03-01;Dióxido de nitrógeno;Urbana de Tráfico;Suroeste;Plaza Elíptica;76
2010-04-01;Dióxido de nitrógeno;Suburbana;Noreste;Juan Carlos I;23
2010-04-01;Dióxido de nitrógeno;Suburbana;Noroeste;Casa de Campo;26
2010-04-01;Dióxido de nitrógeno;Suburbana;Noroeste;El Pardo;18
2010-04-01;Dióxido de nitrógeno;Urbana de Fondo;Interior M-30;Méndez Álvaro;41
2010-04-01;Dióxido de nitrógeno;Urbana de Fondo;Interior M-30;Plaza del Carmen;47
2010-04-01;Dióxido de nitrógeno;Urbana de Fondo;Interior M-30;Retiro;25
2010-04-01;Dióxido de nitrógeno;Urbana de Fondo;Noreste;Arturo Soria;36
2010-04-01;Dióxido de nitrógeno;Urbana de Fondo;Noreste;Barajas Pueblo;41
2010-04-01;Dióxido de nitrógeno;Urbana de Fondo;Noreste;Sanchinarro;25
2010-04-01;Dióxido de nitrógeno;Urbana de Fondo;Noreste;Tres Olivos;38
2010-04-01;Dióxido de nitrógeno;Urbana de Fondo;Noreste;Urbanización Embajada;40
2010-04-01;Dióxido de nitrógeno;Urbana de Fondo;Sureste;Ensanche de Vallecas;34
2010-04-01;Dióxido de nitrógeno;Urbana de Fondo;Sureste;Vallecas;28
2010-04-01;Dióxido de nitrógeno;Urbana de Fondo;Suroeste;Farolillo;38
2010-04-01;Dióxido de nitrógeno;Urbana de Fondo;Suroeste;Villaverde;26
2010-04-01;Dióxido de nitrógeno;Urbana de Tráfico;Interior M-30;Barrio del Pilar;33
2010-04-01;Dióxido de nitrógeno;Urbana de Tráfico;Interior M-30;Castellana;
2010-04-01;Dióxido de nitrógeno;Urbana de Tráfico;Interior M-30;Cuatro Caminos;43
2010-04-01;Dióxido de nitrógeno;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;36
2010-04-01;Dióxido de nitrógeno;Urbana de Tráfico;Interior M-30;Plaza de Castilla;57
2010-04-01;Dióxido de nitrógeno;Urbana de Tráfico;Interior M-30;Plaza de España;48
2010-04-01;Dióxido de nitrógeno;Urbana de Tráfico;Interior M-30;Ramón y Cajal;48
2010-04-01;Dióxido de nitrógeno;Urbana de Tráfico;Sureste;Moratalaz;48
2010-04-01;Dióxido de nitrógeno;Urbana de Tráfico;Suroeste;Plaza Elíptica;70
2010-05-01;Dióxido de nitrógeno;Suburbana;Noreste;Juan Carlos I;16
2010-05-01;Dióxido de nitrógeno;Suburbana;Noroeste;Casa de Campo;16
2010-05-01;Dióxido de nitrógeno;Suburbana;Noroeste;El Pardo;14
2010-05-01;Dióxido de nitrógeno;Urbana de Fondo;Interior M-30;Méndez Álvaro;31
2010-05-01;Dióxido de nitrógeno;Urbana de Fondo;Interior M-30;Plaza del Carmen;38
2010-05-01;Dióxido de nitrógeno;Urbana de Fondo;Interior M-30;Retiro;20
2010-05-01;Dióxido de nitrógeno;Urbana de Fondo;Noreste;Arturo Soria;27
2010-05-01;Dióxido de nitrógeno;Urbana de Fondo;Noreste;Barajas Pueblo;33
2010-05-01;Dióxido de nitrógeno;Urbana de Fondo;Noreste;Sanchinarro;15
2010-05-01;Dióxido de nitrógeno;Urbana de Fondo;Noreste;Tres Olivos;26
2010-05-01;Dióxido de nitrógeno;Urbana de Fondo;Noreste;Urbanización Embajada;24
2010-05-01;Dióxido de nitrógeno;Urbana de Fondo;Sureste;Ensanche de Vallecas;26
2010-05-01;Dióxido de nitrógeno;Urbana de Fondo;Sureste;Vallecas;10
2010-05-01;Dióxido de nitrógeno;Urbana de Fondo;Suroeste;Farolillo;30
2010-05-01;Dióxido de nitrógeno;Urbana de Fondo;Suroeste;Villaverde;21
2010-05-01;Dióxido de nitrógeno;Urbana de Tráfico;Interior M-30;Barrio del Pilar;24
2010-05-01;Dióxido de nitrógeno;Urbana de Tráfico;Interior M-30;Castellana;
2010-05-01;Dióxido de nitrógeno;Urbana de Tráfico;Interior M-30;Cuatro Caminos;36
2010-05-01;Dióxido de nitrógeno;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;34
2010-05-01;Dióxido de nitrógeno;Urbana de Tráfico;Interior M-30;Plaza de Castilla;37
2010-05-01;Dióxido de nitrógeno;Urbana de Tráfico;Interior M-30;Plaza de España;40
2010-05-01;Dióxido de nitrógeno;Urbana de Tráfico;Interior M-30;Ramón y Cajal;41
2010-05-01;Dióxido de nitrógeno;Urbana de Tráfico;Sureste;Moratalaz;37
2010-05-01;Dióxido de nitrógeno;Urbana de Tráfico;Suroeste;Plaza Elíptica;53
2010-06-01;Dióxido de nitrógeno;Suburbana;Noreste;Juan Carlos I;19
2010-06-01;Dióxido de nitrógeno;Suburbana;Noroeste;Casa de Campo;19
2010-06-01;Dióxido de nitrógeno;Suburbana;Noroeste;El Pardo;16
2010-06-01;Dióxido de nitrógeno;Urbana de Fondo;Interior M-30;Méndez Álvaro;32
2010-06-01;Dióxido de nitrógeno;Urbana de Fondo;Interior M-30;Plaza del Carmen;43
2010-06-01;Dióxido de nitrógeno;Urbana de Fondo;Interior M-30;Retiro;29
2010-06-01;Dióxido de nitrógeno;Urbana de Fondo;Noreste;Arturo Soria;30
2010-06-01;Dióxido de nitrógeno;Urbana de Fondo;Noreste;Barajas Pueblo;51
2010-06-01;Dióxido de nitrógeno;Urbana de Fondo;Noreste;Sanchinarro;24
2010-06-01;Dióxido de nitrógeno;Urbana de Fondo;Noreste;Tres Olivos;27
