Mes;Magnitud;Tipo Estación;Zona;Estación;Concentraciones medias mensuales
Ene 2010;Benceno;Suburbana;Noroeste;Casa de Campo;0,8
Ene 2010;Benceno;Urbana de Fondo;Noreste;Urbanización Embajada;0,5
Ene 2010;Benceno;Urbana de Fondo;Suroeste;Farolillo;2,1
Ene 2010;Benceno;Urbana de Tráfico;Interior M-30;Cuatro Caminos;1,2
Ene 2010;Benceno;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;1,0
Ene 2010;Benceno;Urbana de Tráfico;Interior M-30;Ramón y Cajal;0,4
Feb 2010;Benceno;Suburbana;Noroeste;Casa de Campo;0,7
Feb 2010;Benceno;Urbana de Fondo;Noreste;Urbanización Embajada;0,4
Feb 2010;Benceno;Urbana de Fondo;Suroeste;Farolillo;1,9
Feb 2010;Benceno;Urbana de Tráfico;Interior M-30;Cuatro Caminos;1,2
Feb 2010;Benceno;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;1,0
Feb 2010;Benceno;Urbana de Tráfico;Interior M-30;Ramón y Cajal;0,5
Mar 2010;Benceno;Suburbana;Noroeste;Casa de Campo;0,5
Mar 2010;Benceno;Urbana de Fondo;Noreste;Urbanización Embajada;0,5
Mar 2010;Benceno;Urbana de Fondo;Suroeste;Farolillo;1,4
Mar 2010;Benceno;Urbana de Tráfico;Interior M-30;Cuatro Caminos;0,9
Mar 2010;Benceno;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;0,8
Mar 2010;Benceno;Urbana de Tráfico;Interior M-30;Ramón y Cajal;0,7
Abr 2010;Benceno;Suburbana;Noroeste;Casa de Campo;0,4
Abr 2010;Benceno;Urbana de Fondo;Noreste;Urbanización Embajada;0,4
Abr 2010;Benceno;Urbana de Fondo;Suroeste;Farolillo;0,2
Abr 2010;Benceno;Urbana de Tráfico;Interior M-30;Cuatro Caminos;0,5
Abr 2010;Benceno;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;0,7
Abr 2010;Benceno;Urbana de Tráfico;Interior M-30;Ramón y Cajal;1,5
May 2010;Benceno;Suburbana;Noroeste;Casa de Campo;0,4
May 2010;Benceno;Urbana de Fondo;Noreste;Urbanización Embajada;0,2
May 2010;Benceno;Urbana de Fondo;Suroeste;Farolillo;0,2
May 2010;Benceno;Urbana de Tráfico;Interior M-30;Cuatro Caminos;0,5
May 2010;Benceno;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;0,6
May 2010;Benceno;Urbana de Tráfico;Interior M-30;Ramón y Cajal;1,2
Jun 2010;Benceno;Suburbana;Noroeste;Casa de Campo;0,4
Jun 2010;Benceno;Urbana de Fondo;Noreste;Urbanización Embajada;0,2
Jun 2010;Benceno;Urbana de Fondo;Suroeste;Farolillo;0,2
Jun 2010;Benceno;Urbana de Tráfico;Interior M-30;Cuatro Caminos;0,5
Jun 2010;Benceno;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;0,6
Jun 2010;Benceno;Urbana de Tráfico;Interior M-30;Ramón y Cajal;1,2
Jul 2010;Benceno;Suburbana;Noroeste;Casa de Campo;0,8
Jul 2010;Benceno;Urbana de Fondo;Noreste;Urbanización Embajada;0,2
Jul 2010;Benceno;Urbana de Fondo;Suroeste;Farolillo;0,3
Jul 2010;Benceno;Urbana de Tráfico;Interior M-30;Cuatro Caminos;0,5
Jul 2010;Benceno;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;0,7
Jul 2010;Benceno;Urbana de Tráfico;Interior M-30;Ramón y Cajal;1,3
Ago 2010;Benceno;Suburbana;Noroeste;Casa de Campo;0,6
Ago 2010;Benceno;Urbana de Fondo;Noreste;Urbanización Embajada;0,2
Ago 2010;Benceno;Urbana de Fondo;Suroeste;Farolillo;0,2
Ago 2010;Benceno;Urbana de Tráfico;Interior M-30;Cuatro Caminos;0,4
Ago 2010;Benceno;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;0,6
Ago 2010;Benceno;Urbana de Tráfico;Interior M-30;Ramón y Cajal;1,1
Sep 2010;Benceno;Suburbana;Noroeste;Casa de Campo;0,6
Sep 2010;Benceno;Urbana de Fondo;Noreste;Urbanización Embajada;0,3
Sep 2010;Benceno;Urbana de Fondo;Suroeste;Farolillo;0,2
Sep 2010;Benceno;Urbana de Tráfico;Interior M-30;Cuatro Caminos;0,7
Sep 2010;Benceno;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;0,9
Sep 2010;Benceno;Urbana de Tráfico;Interior M-30;Ramón y Cajal;1,8
Oct 2010;Benceno;Suburbana;Noroeste;Casa de Campo;0,8
Oct 2010;Benceno;Urbana de Fondo;Noreste;Urbanización Embajada;0,4
Oct 2010;Benceno;Urbana de Fondo;Suroeste;Farolillo;0,3
Oct 2010;Benceno;Urbana de Tráfico;Interior M-30;Cuatro Caminos;0,8
Oct 2010;Benceno;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;1,2
Oct 2010;Benceno;Urbana de Tráfico;Interior M-30;Ramón y Cajal;2,2
Nov 2010;Benceno;Suburbana;Noroeste;Casa de Campo;0,6
Nov 2010;Benceno;Urbana de Fondo;Noreste;Urbanización Embajada;0,5
Nov 2010;Benceno;Urbana de Fondo;Suroeste;Farolillo;0,6
Nov 2010;Benceno;Urbana de Tráfico;Interior M-30;Cuatro Caminos;1,0
Nov 2010;Benceno;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;1,1
Nov 2010;Benceno;Urbana de Tráfico;Interior M-30;Ramón y Cajal;2,1
Dic 2010;Benceno;Suburbana;Noroeste;Casa de Campo;0,8
Dic 2010;Benceno;Urbana de Fondo;Noreste;Urbanización Embajada;0,5
Dic 2010;Benceno;Urbana de Fondo;Suroeste;Farolillo;0,4
Dic 2010;Benceno;Urbana de Tráfico;Interior M-30;Cuatro Caminos;1,2
Dic 2010;Benceno;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;1,5
Dic 2010;Benceno;Urbana de Tráfico;Interior M-30;Ramón y Cajal;2,4
Ene 2011;Benceno;Suburbana;Noroeste;Casa de Campo;0,9
Ene 2011;Benceno;Urbana de Fondo;Noreste;Urbanización Embajada;0,4
Ene 2011;Benceno;Urbana de Fondo;Suroeste;Farolillo;0,5
Ene 2011;Benceno;Urbana de Tráfico;Interior M-30;Cuatro Caminos;1,6
Ene 2011;Benceno;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;1,4
Ene 2011;Benceno;Urbana de Tráfico;Interior M-30;Ramón y Cajal;2,2
Feb 2011;Benceno;Suburbana;Noroeste;Casa de Campo;0,9
Feb 2011;Benceno;Urbana de Fondo;Noreste;Urbanización Embajada;0,5
Feb 2011;Benceno;Urbana de Fondo;Suroeste;Farolillo;0,5
Feb 2011;Benceno;Urbana de Tráfico;Interior M-30;Cuatro Caminos;1,0
Feb 2011;Benceno;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;1,6
Feb 2011;Benceno;Urbana de Tráfico;Interior M-30;Ramón y Cajal;2,4
Mar 2011;Benceno;Suburbana;Noroeste;Casa de Campo;0,8
Mar 2011;Benceno;Urbana de Fondo;Noreste;Urbanización Embajada;0,4
Mar 2011;Benceno;Urbana de Fondo;Suroeste;Farolillo;0,2
Mar 2011;Benceno;Urbana de Tráfico;Interior M-30;Cuatro Caminos;0,3
Mar 2011;Benceno;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;1,1
Mar 2011;Benceno;Urbana de Tráfico;Interior M-30;Ramón y Cajal;1,9
Abr 2011;Benceno;Suburbana;Noroeste;Casa de Campo;0,7
Abr 2011;Benceno;Urbana de Fondo;Noreste;Urbanización Embajada;0,3
Abr 2011;Benceno;Urbana de Fondo;Suroeste;Farolillo;0,2
Abr 2011;Benceno;Urbana de Tráfico;Interior M-30;Cuatro Caminos;0,3
Abr 2011;Benceno;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;0,9
Abr 2011;Benceno;Urbana de Tráfico;Interior M-30;Ramón y Cajal;1,4
May 2011;Benceno;Suburbana;Noroeste;Casa de Campo;0,5
May 2011;Benceno;Urbana de Fondo;Noreste;Urbanización Embajada;0,2
May 2011;Benceno;Urbana de Fondo;Suroeste;Farolillo;0,2
May 2011;Benceno;Urbana de Tráfico;Interior M-30;Cuatro Caminos;0,2
May 2011;Benceno;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;0,7
May 2011;Benceno;Urbana de Tráfico;Interior M-30;Ramón y Cajal;1,2
Jun 2011;Benceno;Suburbana;Noroeste;Casa de Campo;0,7
Jun 2011;Benceno;Urbana de Fondo;Noreste;Urbanización Embajada;0,3
Jun 2011;Benceno;Urbana de Fondo;Suroeste;Farolillo;0,2
Jun 2011;Benceno;Urbana de Tráfico;Interior M-30;Cuatro Caminos;0,2
Jun 2011;Benceno;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;0,8
Jun 2011;Benceno;Urbana de Tráfico;Interior M-30;Ramón y Cajal;1,3
Jul 2011;Benceno;Suburbana;Noroeste;Casa de Campo;0,6
Jul 2011;Benceno;Urbana de Fondo;Noreste;Urbanización Embajada;0,2
Jul 2011;Benceno;Urbana de Fondo;Suroeste;Farolillo;0,2
Jul 2011;Benceno;Urbana de Tráfico;Interior M-30;Cuatro Caminos;0,2
Jul 2011;Benceno;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;0,6
Jul 2011;Benceno;Urbana de Tráfico;Interior M-30;Ramón y Cajal;1,0
Ago 2011;Benceno;Suburbana;Noroeste;Casa de Campo;0,6
Ago 2011;Benceno;Urbana de Fondo;Noreste;Urbanización Embajada;0,3
Ago 2011;Benceno;Urbana de Fondo;Suroeste;Farolillo;0,2
Ago 2011;Benceno;Urbana de Tráfico;Interior M-30;Cuatro Caminos;0,3
Ago 2011;Benceno;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;0,6
Ago 2011;Benceno;Urbana de Tráfico;Interior M-30;Ramón y Cajal;1,0
Sep 2011;Benceno;Suburbana;Noroeste;Casa de Campo;0,7
Sep 2011;Benceno;Urbana de Fondo;Noreste;Urbanización Embajada;0,5
Sep 2011;Benceno;Urbana de Fondo;Suroeste;Farolillo;0,3
Sep 2011;Benceno;Urbana de Tráfico;Interior M-30;Cuatro Caminos;0,6
Sep 2011;Benceno;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;1,2
Sep 2011;Benceno;Urbana de Tráfico;Interior M-30;Ramón y Cajal;1,8
Oct 2011;Benceno;Suburbana;Noroeste;Casa de Campo;0,7
Oct 2011;Benceno;Urbana de Fondo;Noreste;Urbanización Embajada;0,6
Oct 2011;Benceno;Urbana de Fondo;Suroeste;Farolillo;0,4
Oct 2011;Benceno;Urbana de Tráfico;Interior M-30;Cuatro Caminos;0,7
Oct 2011;Benceno;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;1,4
Oct 2011;Benceno;Urbana de Tráfico;Interior M-30;Ramón y Cajal;1,9
Nov 2011;Benceno;Suburbana;Noroeste;Casa de Campo;0,8
Nov 2011;Benceno;Urbana de Fondo;Noreste;Urbanización Embajada;0,7
Nov 2011;Benceno;Urbana de Fondo;Suroeste;Farolillo;0,3
Nov 2011;Benceno;Urbana de Tráfico;Interior M-30;Cuatro Caminos;0,6
Nov 2011;Benceno;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;1,3
Nov 2011;Benceno;Urbana de Tráfico;Interior M-30;Ramón y Cajal;2,1
Dic 2011;Benceno;Suburbana;Noroeste;Casa de Campo;1,0
Dic 2011;Benceno;Urbana de Fondo;Noreste;Urbanización Embajada;1,2
Dic 2011;Benceno;Urbana de Fondo;Suroeste;Farolillo;0,5
Dic 2011;Benceno;Urbana de Tráfico;Interior M-30;Cuatro Caminos;0,8
Dic 2011;Benceno;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;1,8
Dic 2011;Benceno;Urbana de Tráfico;Interior M-30;Ramón y Cajal;2,4
Ene 2012;Benceno;Suburbana;Noroeste;Casa de Campo;1,0
Ene 2012;Benceno;Urbana de Fondo;Noreste;Urbanización Embajada;1,4
Ene 2012;Benceno;Urbana de Fondo;Suroeste;Farolillo;0,8
Ene 2012;Benceno;Urbana de Tráfico;Interior M-30;Cuatro Caminos;1,0
Ene 2012;Benceno;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;1,9
Ene 2012;Benceno;Urbana de Tráfico;Interior M-30;Ramón y Cajal;2,4
Feb 2012;Benceno;Suburbana;Noroeste;Casa de Campo;0,7
Feb 2012;Benceno;Urbana de Fondo;Noreste;Urbanización Embajada;0,7
Feb 2012;Benceno;Urbana de Fondo;Suroeste;Farolillo;0,5
Feb 2012;Benceno;Urbana de Tráfico;Interior M-30;Cuatro Caminos;0,4
Feb 2012;Benceno;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;1,3
Feb 2012;Benceno;Urbana de Tráfico;Interior M-30;Ramón y Cajal;2,0
Mar 2012;Benceno;Suburbana;Noroeste;Casa de Campo;0,6
