Mes;Magnitud;Tipo Estación;Zona;Estación;Concentraciones medias mensuales
Ene 2010;Ozono;Suburbana;Noreste;Juan Carlos I;30
Ene 2010;Ozono;Suburbana;Noroeste;Casa de Campo;42
Ene 2010;Ozono;Suburbana;Noroeste;El Pardo;40
Ene 2010;Ozono;Urbana de Fondo;Interior M-30;Plaza del Carmen;26
Ene 2010;Ozono;Urbana de Fondo;Interior M-30;Retiro;50
Ene 2010;Ozono;Urbana de Fondo;Noreste;Arturo Soria;23
Ene 2010;Ozono;Urbana de Fondo;Noreste;Barajas Pueblo;17
Ene 2010;Ozono;Urbana de Fondo;Noreste;Tres Olivos;25
Ene 2010;Ozono;Urbana de Fondo;Sureste;Ensanche de Vallecas;40
Ene 2010;Ozono;Urbana de Fondo;Suroeste;Farolillo;33
Ene 2010;Ozono;Urbana de Fondo;Suroeste;Villaverde;24
Ene 2010;Ozono;Urbana de Tráfico;Interior M-30;Barrio del Pilar;29
Ene 2010;Ozono;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;25
Ene 2010;Ozono;Urbana de Tráfico;Suroeste;Plaza Elíptica;29
Feb 2010;Ozono;Suburbana;Noreste;Juan Carlos I;47
Feb 2010;Ozono;Suburbana;Noroeste;Casa de Campo;55
Feb 2010;Ozono;Suburbana;Noroeste;El Pardo;55
Feb 2010;Ozono;Urbana de Fondo;Interior M-30;Plaza del Carmen;36
Feb 2010;Ozono;Urbana de Fondo;Interior M-30;Retiro;59
Feb 2010;Ozono;Urbana de Fondo;Noreste;Arturo Soria;30
Feb 2010;Ozono;Urbana de Fondo;Noreste;Barajas Pueblo;26
Feb 2010;Ozono;Urbana de Fondo;Noreste;Tres Olivos;29
Feb 2010;Ozono;Urbana de Fondo;Sureste;Ensanche de Vallecas;50
Feb 2010;Ozono;Urbana de Fondo;Suroeste;Farolillo;42
Feb 2010;Ozono;Urbana de Fondo;Suroeste;Villaverde;26
Feb 2010;Ozono;Urbana de Tráfico;Interior M-30;Barrio del Pilar;40
Feb 2010;Ozono;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;33
Feb 2010;Ozono;Urbana de Tráfico;Suroeste;Plaza Elíptica;40
Mar 2010;Ozono;Suburbana;Noreste;Juan Carlos I;65
Mar 2010;Ozono;Suburbana;Noroeste;Casa de Campo;60
Mar 2010;Ozono;Suburbana;Noroeste;El Pardo;60
Mar 2010;Ozono;Urbana de Fondo;Interior M-30;Plaza del Carmen;43
Mar 2010;Ozono;Urbana de Fondo;Interior M-30;Retiro;62
Mar 2010;Ozono;Urbana de Fondo;Noreste;Arturo Soria;37
Mar 2010;Ozono;Urbana de Fondo;Noreste;Barajas Pueblo;49
Mar 2010;Ozono;Urbana de Fondo;Noreste;Tres Olivos;66
Mar 2010;Ozono;Urbana de Fondo;Sureste;Ensanche de Vallecas;57
Mar 2010;Ozono;Urbana de Fondo;Suroeste;Farolillo;49
Mar 2010;Ozono;Urbana de Fondo;Suroeste;Villaverde;30
Mar 2010;Ozono;Urbana de Tráfico;Interior M-30;Barrio del Pilar;48
Mar 2010;Ozono;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;41
Mar 2010;Ozono;Urbana de Tráfico;Suroeste;Plaza Elíptica;46
Abr 2010;Ozono;Suburbana;Noreste;Juan Carlos I;80
Abr 2010;Ozono;Suburbana;Noroeste;Casa de Campo;74
Abr 2010;Ozono;Suburbana;Noroeste;El Pardo;70
Abr 2010;Ozono;Urbana de Fondo;Interior M-30;Plaza del Carmen;61
Abr 2010;Ozono;Urbana de Fondo;Interior M-30;Retiro;64
Abr 2010;Ozono;Urbana de Fondo;Noreste;Arturo Soria;47
Abr 2010;Ozono;Urbana de Fondo;Noreste;Barajas Pueblo;62
Abr 2010;Ozono;Urbana de Fondo;Noreste;Tres Olivos;68
Abr 2010;Ozono;Urbana de Fondo;Sureste;Ensanche de Vallecas;70
Abr 2010;Ozono;Urbana de Fondo;Suroeste;Farolillo;66
Abr 2010;Ozono;Urbana de Fondo;Suroeste;Villaverde;40
Abr 2010;Ozono;Urbana de Tráfico;Interior M-30;Barrio del Pilar;62
Abr 2010;Ozono;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;53
Abr 2010;Ozono;Urbana de Tráfico;Suroeste;Plaza Elíptica;60
May 2010;Ozono;Suburbana;Noreste;Juan Carlos I;84
May 2010;Ozono;Suburbana;Noroeste;Casa de Campo;77
May 2010;Ozono;Suburbana;Noroeste;El Pardo;73
May 2010;Ozono;Urbana de Fondo;Interior M-30;Plaza del Carmen;64
May 2010;Ozono;Urbana de Fondo;Interior M-30;Retiro;67
May 2010;Ozono;Urbana de Fondo;Noreste;Arturo Soria;55
May 2010;Ozono;Urbana de Fondo;Noreste;Barajas Pueblo;66
May 2010;Ozono;Urbana de Fondo;Noreste;Tres Olivos;66
May 2010;Ozono;Urbana de Fondo;Sureste;Ensanche de Vallecas;73
May 2010;Ozono;Urbana de Fondo;Suroeste;Farolillo;71
May 2010;Ozono;Urbana de Fondo;Suroeste;Villaverde;46
May 2010;Ozono;Urbana de Tráfico;Interior M-30;Barrio del Pilar;68
May 2010;Ozono;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;55
May 2010;Ozono;Urbana de Tráfico;Suroeste;Plaza Elíptica;61
Jun 2010;Ozono;Suburbana;Noreste;Juan Carlos I;73
Jun 2010;Ozono;Suburbana;Noroeste;Casa de Campo;74
Jun 2010;Ozono;Suburbana;Noroeste;El Pardo;69
Jun 2010;Ozono;Urbana de Fondo;Interior M-30;Plaza del Carmen;56
Jun 2010;Ozono;Urbana de Fondo;Interior M-30;Retiro;55
Jun 2010;Ozono;Urbana de Fondo;Noreste;Arturo Soria;62
Jun 2010;Ozono;Urbana de Fondo;Noreste;Barajas Pueblo;57
Jun 2010;Ozono;Urbana de Fondo;Noreste;Tres Olivos;75
Jun 2010;Ozono;Urbana de Fondo;Sureste;Ensanche de Vallecas;64
Jun 2010;Ozono;Urbana de Fondo;Suroeste;Farolillo;61
Jun 2010;Ozono;Urbana de Fondo;Suroeste;Villaverde;40
Jun 2010;Ozono;Urbana de Tráfico;Interior M-30;Barrio del Pilar;60
Jun 2010;Ozono;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;47
Jun 2010;Ozono;Urbana de Tráfico;Suroeste;Plaza Elíptica;46
Jul 2010;Ozono;Suburbana;Noreste;Juan Carlos I;82
Jul 2010;Ozono;Suburbana;Noroeste;Casa de Campo;85
Jul 2010;Ozono;Suburbana;Noroeste;El Pardo;80
Jul 2010;Ozono;Urbana de Fondo;Interior M-30;Plaza del Carmen;64
Jul 2010;Ozono;Urbana de Fondo;Interior M-30;Retiro;63
Jul 2010;Ozono;Urbana de Fondo;Noreste;Arturo Soria;79
Jul 2010;Ozono;Urbana de Fondo;Noreste;Barajas Pueblo;66
Jul 2010;Ozono;Urbana de Fondo;Noreste;Tres Olivos;71
Jul 2010;Ozono;Urbana de Fondo;Sureste;Ensanche de Vallecas;69
Jul 2010;Ozono;Urbana de Fondo;Suroeste;Farolillo;69
Jul 2010;Ozono;Urbana de Fondo;Suroeste;Villaverde;44
Jul 2010;Ozono;Urbana de Tráfico;Interior M-30;Barrio del Pilar;67
Jul 2010;Ozono;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;63
Jul 2010;Ozono;Urbana de Tráfico;Suroeste;Plaza Elíptica;52
Ago 2010;Ozono;Suburbana;Noreste;Juan Carlos I;75
Ago 2010;Ozono;Suburbana;Noroeste;Casa de Campo;71
Ago 2010;Ozono;Suburbana;Noroeste;El Pardo;73
Ago 2010;Ozono;Urbana de Fondo;Interior M-30;Plaza del Carmen;58
Ago 2010;Ozono;Urbana de Fondo;Interior M-30;Retiro;59
Ago 2010;Ozono;Urbana de Fondo;Noreste;Arturo Soria;66
Ago 2010;Ozono;Urbana de Fondo;Noreste;Barajas Pueblo;71
Ago 2010;Ozono;Urbana de Fondo;Noreste;Tres Olivos;61
Ago 2010;Ozono;Urbana de Fondo;Sureste;Ensanche de Vallecas;65
Ago 2010;Ozono;Urbana de Fondo;Suroeste;Farolillo;65
Ago 2010;Ozono;Urbana de Fondo;Suroeste;Villaverde;46
Ago 2010;Ozono;Urbana de Tráfico;Interior M-30;Barrio del Pilar;63
Ago 2010;Ozono;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;53
Ago 2010;Ozono;Urbana de Tráfico;Suroeste;Plaza Elíptica;46
Sep 2010;Ozono;Suburbana;Noreste;Juan Carlos I;56
Sep 2010;Ozono;Suburbana;Noroeste;Casa de Campo;49
Sep 2010;Ozono;Suburbana;Noroeste;El Pardo;55
Sep 2010;Ozono;Urbana de Fondo;Interior M-30;Plaza del Carmen;41
Sep 2010;Ozono;Urbana de Fondo;Interior M-30;Retiro;43
Sep 2010;Ozono;Urbana de Fondo;Noreste;Arturo Soria;46
Sep 2010;Ozono;Urbana de Fondo;Noreste;Barajas Pueblo;52
Sep 2010;Ozono;Urbana de Fondo;Noreste;Tres Olivos;52
Sep 2010;Ozono;Urbana de Fondo;Sureste;Ensanche de Vallecas;48
Sep 2010;Ozono;Urbana de Fondo;Suroeste;Farolillo;46
Sep 2010;Ozono;Urbana de Fondo;Suroeste;Villaverde;
Sep 2010;Ozono;Urbana de Tráfico;Interior M-30;Barrio del Pilar;43
Sep 2010;Ozono;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;35
Sep 2010;Ozono;Urbana de Tráfico;Suroeste;Plaza Elíptica;34
Oct 2010;Ozono;Suburbana;Noreste;Juan Carlos I;40
Oct 2010;Ozono;Suburbana;Noroeste;Casa de Campo;34
Oct 2010;Ozono;Suburbana;Noroeste;El Pardo;41
Oct 2010;Ozono;Urbana de Fondo;Interior M-30;Plaza del Carmen;28
Oct 2010;Ozono;Urbana de Fondo;Interior M-30;Retiro;28
Oct 2010;Ozono;Urbana de Fondo;Noreste;Arturo Soria;31
Oct 2010;Ozono;Urbana de Fondo;Noreste;Barajas Pueblo;38
Oct 2010;Ozono;Urbana de Fondo;Noreste;Tres Olivos;42
Oct 2010;Ozono;Urbana de Fondo;Sureste;Ensanche de Vallecas;35
Oct 2010;Ozono;Urbana de Fondo;Suroeste;Farolillo;32
Oct 2010;Ozono;Urbana de Fondo;Suroeste;Villaverde;
Oct 2010;Ozono;Urbana de Tráfico;Interior M-30;Barrio del Pilar;29
Oct 2010;Ozono;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;24
Oct 2010;Ozono;Urbana de Tráfico;Suroeste;Plaza Elíptica;24
Nov 2010;Ozono;Suburbana;Noreste;Juan Carlos I;34
Nov 2010;Ozono;Suburbana;Noroeste;Casa de Campo;34
Nov 2010;Ozono;Suburbana;Noroeste;El Pardo;39
Nov 2010;Ozono;Urbana de Fondo;Interior M-30;Plaza del Carmen;24
Nov 2010;Ozono;Urbana de Fondo;Interior M-30;Retiro;26
Nov 2010;Ozono;Urbana de Fondo;Noreste;Arturo Soria;28
Nov 2010;Ozono;Urbana de Fondo;Noreste;Barajas Pueblo;33
Nov 2010;Ozono;Urbana de Fondo;Noreste;Tres Olivos;37
Nov 2010;Ozono;Urbana de Fondo;Sureste;Ensanche de Vallecas;28
Nov 2010;Ozono;Urbana de Fondo;Suroeste;Farolillo;32
Nov 2010;Ozono;Urbana de Fondo;Suroeste;Villaverde;16
Nov 2010;Ozono;Urbana de Tráfico;Interior M-30;Barrio del Pilar;28
Nov 2010;Ozono;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;20
Nov 2010;Ozono;Urbana de Tráfico;Suroeste;Plaza Elíptica;25
Dic 2010;Ozono;Suburbana;Noreste;Juan Carlos I;26
Dic 2010;Ozono;Suburbana;Noroeste;Casa de Campo;22
Dic 2010;Ozono;Suburbana;Noroeste;El Pardo;23
Dic 2010;Ozono;Urbana de Fondo;Interior M-30;Plaza del Carmen;15
Dic 2010;Ozono;Urbana de Fondo;Interior M-30;Retiro;16
Dic 2010;Ozono;Urbana de Fondo;Noreste;Arturo Soria;19
Dic 2010;Ozono;Urbana de Fondo;Noreste;Barajas Pueblo;25
Dic 2010;Ozono;Urbana de Fondo;Noreste;Tres Olivos;23
Dic 2010;Ozono;Urbana de Fondo;Sureste;Ensanche de Vallecas;23
Dic 2010;Ozono;Urbana de Fondo;Suroeste;Farolillo;18
Dic 2010;Ozono;Urbana de Fondo;Suroeste;Villaverde;12
Dic 2010;Ozono;Urbana de Tráfico;Interior M-30;Barrio del Pilar;19
Dic 2010;Ozono;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;16
Dic 2010;Ozono;Urbana de Tráfico;Suroeste;Plaza Elíptica;17
Ene 2011;Ozono;Suburbana;Noreste;Juan Carlos I;26
Ene 2011;Ozono;Suburbana;Noroeste;Casa de Campo;25
Ene 2011;Ozono;Suburbana;Noroeste;El Pardo;26
Ene 2011;Ozono;Urbana de Fondo;Interior M-30;Plaza del Carmen;18
Ene 2011;Ozono;Urbana de Fondo;Interior M-30;Retiro;19
Ene 2011;Ozono;Urbana de Fondo;Noreste;Arturo Soria;23
Ene 2011;Ozono;Urbana de Fondo;Noreste;Barajas Pueblo;23
Ene 2011;Ozono;Urbana de Fondo;Noreste;Tres Olivos;22
Ene 2011;Ozono;Urbana de Fondo;Sureste;Ensanche de Vallecas;24
Ene 2011;Ozono;Urbana de Fondo;Suroeste;Farolillo;19
Ene 2011;Ozono;Urbana de Fondo;Suroeste;Villaverde;14
Ene 2011;Ozono;Urbana de Tráfico;Interior M-30;Barrio del Pilar;22
Ene 2011;Ozono;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;20
Ene 2011;Ozono;Urbana de Tráfico;Suroeste;Plaza Elíptica;17
Feb 2011;Ozono;Suburbana;Noreste;Juan Carlos I;38
Feb 2011;Ozono;Suburbana;Noroeste;Casa de Campo;35
Feb 2011;Ozono;Suburbana;Noroeste;El Pardo;35
Feb 2011;Ozono;Urbana de Fondo;Interior M-30;Plaza del Carmen;26
Feb 2011;Ozono;Urbana de Fondo;Interior M-30;Retiro;27
Feb 2011;Ozono;Urbana de Fondo;Noreste;Arturo Soria;29
Feb 2011;Ozono;Urbana de Fondo;Noreste;Barajas Pueblo;32
Feb 2011;Ozono;Urbana de Fondo;Noreste;Tres Olivos;26
Feb 2011;Ozono;Urbana de Fondo;Sureste;Ensanche de Vallecas;35
Feb 2011;Ozono;Urbana de Fondo;Suroeste;Farolillo;29
Feb 2011;Ozono;Urbana de Fondo;Suroeste;Villaverde;19
Feb 2011;Ozono;Urbana de Tráfico;Interior M-30;Barrio del Pilar;30
Feb 2011;Ozono;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;25
Feb 2011;Ozono;Urbana de Tráfico;Suroeste;Plaza Elíptica;26
Mar 2011;Ozono;Suburbana;Noreste;Juan Carlos I;64
Mar 2011;Ozono;Suburbana;Noroeste;Casa de Campo;52
Mar 2011;Ozono;Suburbana;Noroeste;El Pardo;43
Mar 2011;Ozono;Urbana de Fondo;Interior M-30;Plaza del Carmen;47
Mar 2011;Ozono;Urbana de Fondo;Interior M-30;Retiro;52
Mar 2011;Ozono;Urbana de Fondo;Noreste;Arturo Soria;50
Mar 2011;Ozono;Urbana de Fondo;Noreste;Barajas Pueblo;56
Mar 2011;Ozono;Urbana de Fondo;Noreste;Tres Olivos;45
Mar 2011;Ozono;Urbana de Fondo;Sureste;Ensanche de Vallecas;63
Mar 2011;Ozono;Urbana de Fondo;Suroeste;Farolillo;48
Mar 2011;Ozono;Urbana de Fondo;Suroeste;Villaverde;35
Mar 2011;Ozono;Urbana de Tráfico;Interior M-30;Barrio del Pilar;49
Mar 2011;Ozono;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;46
Mar 2011;Ozono;Urbana de Tráfico;Suroeste;Plaza Elíptica;42
