Mes;Magnitud;Tipo Estación;Zona;Estación;Concentraciones medias mensuales
Ene 2010;Partículas en suspensión < 2,5µm;Suburbana;Noroeste;Casa de Campo;9
Ene 2010;Partículas en suspensión < 2,5µm;Urbana de Fondo;Interior M-30;Méndez Álvaro;11
Ene 2010;Partículas en suspensión < 2,5µm;Urbana de Fondo;Noreste;Sanchinarro;
Ene 2010;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Castellana;
Ene 2010;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Cuatro Caminos;13
Ene 2010;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;10
Ene 2010;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Plaza de Castilla;
Ene 2010;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Suroeste;Plaza Elíptica;
Feb 2010;Partículas en suspensión < 2,5µm;Suburbana;Noroeste;Casa de Campo;8
Feb 2010;Partículas en suspensión < 2,5µm;Urbana de Fondo;Interior M-30;Méndez Álvaro;10
Feb 2010;Partículas en suspensión < 2,5µm;Urbana de Fondo;Noreste;Sanchinarro;
Feb 2010;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Castellana;
Feb 2010;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Cuatro Caminos;11
Feb 2010;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;8
Feb 2010;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Plaza de Castilla;11
Feb 2010;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Suroeste;Plaza Elíptica;
Mar 2010;Partículas en suspensión < 2,5µm;Suburbana;Noroeste;Casa de Campo;11
Mar 2010;Partículas en suspensión < 2,5µm;Urbana de Fondo;Interior M-30;Méndez Álvaro;13
Mar 2010;Partículas en suspensión < 2,5µm;Urbana de Fondo;Noreste;Sanchinarro;
Mar 2010;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Castellana;
Mar 2010;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Cuatro Caminos;17
Mar 2010;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;14
Mar 2010;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Plaza de Castilla;14
Mar 2010;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Suroeste;Plaza Elíptica;
Abr 2010;Partículas en suspensión < 2,5µm;Suburbana;Noroeste;Casa de Campo;6
Abr 2010;Partículas en suspensión < 2,5µm;Urbana de Fondo;Interior M-30;Méndez Álvaro;10
Abr 2010;Partículas en suspensión < 2,5µm;Urbana de Fondo;Noreste;Sanchinarro;
Abr 2010;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Castellana;
Abr 2010;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Cuatro Caminos;12
Abr 2010;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;12
Abr 2010;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Plaza de Castilla;11
Abr 2010;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Suroeste;Plaza Elíptica;
May 2010;Partículas en suspensión < 2,5µm;Suburbana;Noroeste;Casa de Campo;8
May 2010;Partículas en suspensión < 2,5µm;Urbana de Fondo;Interior M-30;Méndez Álvaro;11
May 2010;Partículas en suspensión < 2,5µm;Urbana de Fondo;Noreste;Sanchinarro;
May 2010;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Castellana;
May 2010;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Cuatro Caminos;16
May 2010;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;11
May 2010;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Plaza de Castilla;12
May 2010;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Suroeste;Plaza Elíptica;
Jun 2010;Partículas en suspensión < 2,5µm;Suburbana;Noroeste;Casa de Campo;8
Jun 2010;Partículas en suspensión < 2,5µm;Urbana de Fondo;Interior M-30;Méndez Álvaro;11
Jun 2010;Partículas en suspensión < 2,5µm;Urbana de Fondo;Noreste;Sanchinarro;
Jun 2010;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Castellana;7
Jun 2010;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Cuatro Caminos;13
Jun 2010;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;12
Jun 2010;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Plaza de Castilla;12
Jun 2010;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Suroeste;Plaza Elíptica;
Jul 2010;Partículas en suspensión < 2,5µm;Suburbana;Noroeste;Casa de Campo;11
Jul 2010;Partículas en suspensión < 2,5µm;Urbana de Fondo;Interior M-30;Méndez Álvaro;15
Jul 2010;Partículas en suspensión < 2,5µm;Urbana de Fondo;Noreste;Sanchinarro;
Jul 2010;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Castellana;10
Jul 2010;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Cuatro Caminos;17
Jul 2010;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;16
Jul 2010;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Plaza de Castilla;18
Jul 2010;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Suroeste;Plaza Elíptica;
Ago 2010;Partículas en suspensión < 2,5µm;Suburbana;Noroeste;Casa de Campo;12
Ago 2010;Partículas en suspensión < 2,5µm;Urbana de Fondo;Interior M-30;Méndez Álvaro;13
Ago 2010;Partículas en suspensión < 2,5µm;Urbana de Fondo;Noreste;Sanchinarro;
Ago 2010;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Castellana;11
Ago 2010;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Cuatro Caminos;17
Ago 2010;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;18
Ago 2010;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Plaza de Castilla;17
Ago 2010;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Suroeste;Plaza Elíptica;
Sep 2010;Partículas en suspensión < 2,5µm;Suburbana;Noroeste;Casa de Campo;10
Sep 2010;Partículas en suspensión < 2,5µm;Urbana de Fondo;Interior M-30;Méndez Álvaro;13
Sep 2010;Partículas en suspensión < 2,5µm;Urbana de Fondo;Noreste;Sanchinarro;
Sep 2010;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Castellana;11
Sep 2010;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Cuatro Caminos;11
Sep 2010;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;15
Sep 2010;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Plaza de Castilla;13
Sep 2010;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Suroeste;Plaza Elíptica;
Oct 2010;Partículas en suspensión < 2,5µm;Suburbana;Noroeste;Casa de Campo;10
Oct 2010;Partículas en suspensión < 2,5µm;Urbana de Fondo;Interior M-30;Méndez Álvaro;14
Oct 2010;Partículas en suspensión < 2,5µm;Urbana de Fondo;Noreste;Sanchinarro;
Oct 2010;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Castellana;11
Oct 2010;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Cuatro Caminos;14
Oct 2010;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;17
Oct 2010;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Plaza de Castilla;14
Oct 2010;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Suroeste;Plaza Elíptica;
Nov 2010;Partículas en suspensión < 2,5µm;Suburbana;Noroeste;Casa de Campo;8
Nov 2010;Partículas en suspensión < 2,5µm;Urbana de Fondo;Interior M-30;Méndez Álvaro;11
Nov 2010;Partículas en suspensión < 2,5µm;Urbana de Fondo;Noreste;Sanchinarro;
Nov 2010;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Castellana;9
Nov 2010;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Cuatro Caminos;12
Nov 2010;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;14
Nov 2010;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Plaza de Castilla;13
Nov 2010;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Suroeste;Plaza Elíptica;
Dic 2010;Partículas en suspensión < 2,5µm;Suburbana;Noroeste;Casa de Campo;10
Dic 2010;Partículas en suspensión < 2,5µm;Urbana de Fondo;Interior M-30;Méndez Álvaro;12
Dic 2010;Partículas en suspensión < 2,5µm;Urbana de Fondo;Noreste;Sanchinarro;
Dic 2010;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Castellana;7
Dic 2010;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Cuatro Caminos;13
