Mes;Magnitud;Tipo Estación;Zona;Estación;Concentraciones medias mensuales
Ene 2010;Dióxido de azufre;Suburbana;Noroeste;Casa de Campo;8
Ene 2010;Dióxido de azufre;Urbana de Fondo;Interior M-30;Plaza del Carmen;14
Ene 2010;Dióxido de azufre;Urbana de Fondo;Noreste;Sanchinarro;8
Ene 2010;Dióxido de azufre;Urbana de Fondo;Sureste;Vallecas;9
Ene 2010;Dióxido de azufre;Urbana de Fondo;Suroeste;Farolillo;10
Ene 2010;Dióxido de azufre;Urbana de Fondo;Suroeste;Villaverde;8
Ene 2010;Dióxido de azufre;Urbana de Tráfico;Interior M-30;Cuatro Caminos;14
Ene 2010;Dióxido de azufre;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;14
Ene 2010;Dióxido de azufre;Urbana de Tráfico;Interior M-30;Plaza de España;16
Ene 2010;Dióxido de azufre;Urbana de Tráfico;Sureste;Moratalaz;18
Feb 2010;Dióxido de azufre;Suburbana;Noroeste;Casa de Campo;9
Feb 2010;Dióxido de azufre;Urbana de Fondo;Interior M-30;Plaza del Carmen;14
Feb 2010;Dióxido de azufre;Urbana de Fondo;Noreste;Sanchinarro;8
Feb 2010;Dióxido de azufre;Urbana de Fondo;Sureste;Vallecas;9
Feb 2010;Dióxido de azufre;Urbana de Fondo;Suroeste;Farolillo;10
Feb 2010;Dióxido de azufre;Urbana de Fondo;Suroeste;Villaverde;8
Feb 2010;Dióxido de azufre;Urbana de Tráfico;Interior M-30;Cuatro Caminos;14
Feb 2010;Dióxido de azufre;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;16
Feb 2010;Dióxido de azufre;Urbana de Tráfico;Interior M-30;Plaza de España;16
Feb 2010;Dióxido de azufre;Urbana de Tráfico;Sureste;Moratalaz;17
Mar 2010;Dióxido de azufre;Suburbana;Noroeste;Casa de Campo;9
Mar 2010;Dióxido de azufre;Urbana de Fondo;Interior M-30;Plaza del Carmen;14
Mar 2010;Dióxido de azufre;Urbana de Fondo;Noreste;Sanchinarro;8
Mar 2010;Dióxido de azufre;Urbana de Fondo;Sureste;Vallecas;10
Mar 2010;Dióxido de azufre;Urbana de Fondo;Suroeste;Farolillo;10
Mar 2010;Dióxido de azufre;Urbana de Fondo;Suroeste;Villaverde;8
Mar 2010;Dióxido de azufre;Urbana de Tráfico;Interior M-30;Cuatro Caminos;13
Mar 2010;Dióxido de azufre;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;15
Mar 2010;Dióxido de azufre;Urbana de Tráfico;Interior M-30;Plaza de España;16
Mar 2010;Dióxido de azufre;Urbana de Tráfico;Sureste;Moratalaz;19
Abr 2010;Dióxido de azufre;Suburbana;Noroeste;Casa de Campo;9
Abr 2010;Dióxido de azufre;Urbana de Fondo;Interior M-30;Plaza del Carmen;10
Abr 2010;Dióxido de azufre;Urbana de Fondo;Noreste;Sanchinarro;9
Abr 2010;Dióxido de azufre;Urbana de Fondo;Sureste;Vallecas;11
Abr 2010;Dióxido de azufre;Urbana de Fondo;Suroeste;Farolillo;8
Abr 2010;Dióxido de azufre;Urbana de Fondo;Suroeste;Villaverde;8
Abr 2010;Dióxido de azufre;Urbana de Tráfico;Interior M-30;Cuatro Caminos;10
Abr 2010;Dióxido de azufre;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;11
Abr 2010;Dióxido de azufre;Urbana de Tráfico;Interior M-30;Plaza de España;11
Abr 2010;Dióxido de azufre;Urbana de Tráfico;Sureste;Moratalaz;14
May 2010;Dióxido de azufre;Suburbana;Noroeste;Casa de Campo;11
May 2010;Dióxido de azufre;Urbana de Fondo;Interior M-30;Plaza del Carmen;9
May 2010;Dióxido de azufre;Urbana de Fondo;Noreste;Sanchinarro;10
May 2010;Dióxido de azufre;Urbana de Fondo;Sureste;Vallecas;13
May 2010;Dióxido de azufre;Urbana de Fondo;Suroeste;Farolillo;9
May 2010;Dióxido de azufre;Urbana de Fondo;Suroeste;Villaverde;8
May 2010;Dióxido de azufre;Urbana de Tráfico;Interior M-30;Cuatro Caminos;9
May 2010;Dióxido de azufre;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;10
May 2010;Dióxido de azufre;Urbana de Tráfico;Interior M-30;Plaza de España;9
May 2010;Dióxido de azufre;Urbana de Tráfico;Sureste;Moratalaz;8
Jun 2010;Dióxido de azufre;Suburbana;Noroeste;Casa de Campo;8
Jun 2010;Dióxido de azufre;Urbana de Fondo;Interior M-30;Plaza del Carmen;8
Jun 2010;Dióxido de azufre;Urbana de Fondo;Noreste;Sanchinarro;7
Jun 2010;Dióxido de azufre;Urbana de Fondo;Sureste;Vallecas;7
Jun 2010;Dióxido de azufre;Urbana de Fondo;Suroeste;Farolillo;6
Jun 2010;Dióxido de azufre;Urbana de Fondo;Suroeste;Villaverde;8
Jun 2010;Dióxido de azufre;Urbana de Tráfico;Interior M-30;Cuatro Caminos;9
Jun 2010;Dióxido de azufre;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;5
Jun 2010;Dióxido de azufre;Urbana de Tráfico;Interior M-30;Plaza de España;9
Jun 2010;Dióxido de azufre;Urbana de Tráfico;Sureste;Moratalaz;5
Jul 2010;Dióxido de azufre;Suburbana;Noroeste;Casa de Campo;9
Jul 2010;Dióxido de azufre;Urbana de Fondo;Interior M-30;Plaza del Carmen;8
Jul 2010;Dióxido de azufre;Urbana de Fondo;Noreste;Sanchinarro;7
Jul 2010;Dióxido de azufre;Urbana de Fondo;Sureste;Vallecas;6
Jul 2010;Dióxido de azufre;Urbana de Fondo;Suroeste;Farolillo;6
Jul 2010;Dióxido de azufre;Urbana de Fondo;Suroeste;Villaverde;8
Jul 2010;Dióxido de azufre;Urbana de Tráfico;Interior M-30;Cuatro Caminos;8
Jul 2010;Dióxido de azufre;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;5
Jul 2010;Dióxido de azufre;Urbana de Tráfico;Interior M-30;Plaza de España;9
Jul 2010;Dióxido de azufre;Urbana de Tráfico;Sureste;Moratalaz;4
Ago 2010;Dióxido de azufre;Suburbana;Noroeste;Casa de Campo;9
